epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.359,1.09029,3.38743,0.9669,0.86191,0.69552,0.83245,0.60647,0.98746,2.64637,0.9513,0.000553453,0.000553453,0.000553453
2,672.65,1.07064,1.70032,0.97219,0.80776,0.83048,0.85733,0.63868,0.99415,1.25329,0.9809,0.00108716,0.00108716,0.00108716
3,1016.71,1.04945,1.15907,0.9689,0.88084,0.85743,0.91248,0.68427,0.96121,0.91844,0.95603,0.00159886,0.00159886,0.00159886
4,1348.12,1.04268,0.98538,0.96575,0.91679,0.83995,0.90558,0.71051,0.88014,0.83057,0.91323,0.00156798,0.00156798,0.00156798
5,1669.02,0.96867,0.88395,0.94556,0.7121,0.63782,0.71114,0.53213,1.01646,1.50529,0.9797,0.00153497,0.00153497,0.00153497
6,1981.51,0.90993,0.77796,0.9325,0.88434,0.83212,0.93497,0.72693,0.89777,0.70537,0.93349,0.00150197,0.00150197,0.00150197
7,2284.74,0.88179,0.74916,0.92165,0.9303,0.82047,0.91888,0.73033,0.85278,0.69157,0.91223,0.00146896,0.00146896,0.00146896
8,2580.44,0.88125,0.72465,0.91729,0.79509,0.71961,0.83301,0.66693,0.84637,1.25236,0.90599,0.00143595,0.00143595,0.00143595
9,2878.02,0.841,0.71674,0.91241,0.84647,0.88231,0.92071,0.75417,0.75732,0.67752,0.89476,0.00140295,0.00140295,0.00140295
10,3184.49,0.82681,0.69191,0.89802,0.96008,0.88823,0.95444,0.79779,0.71568,0.54471,0.88106,0.00136994,0.00136994,0.00136994
11,3487.53,0.80431,0.64681,0.90484,0.88125,0.85798,0.90431,0.74791,0.70076,0.85014,0.87105,0.00133693,0.00133693,0.00133693
12,3803.77,0.79458,0.64151,0.89375,0.91513,0.8744,0.92687,0.75384,0.80442,1.13914,0.91439,0.00130393,0.00130393,0.00130393
13,4114,0.79627,0.63861,0.89631,0.95799,0.91401,0.95035,0.79353,0.7194,0.53549,0.87407,0.00127092,0.00127092,0.00127092
14,4438.37,0.76012,0.60331,0.87979,0.91417,0.81267,0.90942,0.7657,0.70233,0.64433,0.87732,0.00123791,0.00123791,0.00123791
15,321.573,0.82702,0.78181,0.88585,0.96339,0.87268,0.94792,0.75972,0.78409,0.57152,0.88482,0.00120491,0.00120491,0.00120491
16,625.593,0.78495,0.60561,0.8846,0.94884,0.89239,0.96678,0.80059,0.70414,0.51478,0.86686,0.0011719,0.0011719,0.0011719
17,926.744,0.73957,0.57014,0.8742,0.93427,0.92814,0.96142,0.80448,0.68181,0.48005,0.86174,0.00113889,0.00113889,0.00113889
18,1221.37,0.75082,0.56241,0.87648,0.96015,0.87568,0.95776,0.80945,0.66734,0.50367,0.87079,0.00110589,0.00110589,0.00110589
19,1517.1,0.72697,0.54862,0.86782,0.96353,0.92094,0.96169,0.80557,0.67247,0.46231,0.87062,0.00107288,0.00107288,0.00107288
20,1812.77,0.69779,0.51927,0.8618,0.95899,0.92471,0.96958,0.8167,0.64964,0.43386,0.85535,0.00103987,0.00103987,0.00103987
21,309.023,0.73628,0.55839,0.95181,0.96161,0.8786,0.95725,0.78797,0.74028,0.54009,0.9398,0.00100687,0.00100687,0.00100687
22,304.451,0.72863,0.63092,1.02342,0.96264,0.94276,0.96991,0.80486,0.73273,0.46349,0.95283,0.000973861,0.000973861,0.000973861
23,603.619,0.71113,0.50499,0.92197,0.95914,0.91825,0.97096,0.8082,0.71022,0.47337,0.93077,0.000940855,0.000940855,0.000940855
24,901.65,0.69916,0.50804,0.91394,0.95172,0.91665,0.95816,0.80864,0.68576,0.46758,0.92639,0.000907848,0.000907848,0.000907848
25,1196.43,0.68638,0.48708,0.90906,0.96709,0.93614,0.9718,0.81398,0.69518,0.43689,0.92173,0.000874842,0.000874842,0.000874842
